,count
http://t.…,3
church,3
crack,3
together:,3
board,3
uk-china,3
diseases.,3
uk’s,3
@helpforheroes,3
part.,3
"promised,",3
transparency,3
planning,3
corruption.,3
congratulated,3
reducing,3
1.5m,3
evening,3
corner.,3
nurse,3
thinks,3
space,2
helicopter,2
louise,2
sam's,2
need.,2
£20m,2
muslim,2
deepest,2
"all,",2
players,2
"brewery,",2
delegation,2
supporters,2
up.,2
hammond,2
choose,2
charter,2
problem.,2
frank,2
cars,2
affordable,2
bbc1.,2
december,2
"time,",2
pure,2
mps.,2
allowing,2
breakfast,2
1.8,2
#marr,2
rising.,2
@theresa_may,2
tomorrow’s,2
tour,2
"scotland,",2
"wales,",2
afghan,2
widows,2
time:,2
uncle,2
regret,2
judging,2
phil,2
@begumnadiya,2
praise,2
leafleting,2
enough,2
enough.,2
pornography.,2
@zacgoldsmith:,2
100th,2
…and,2
below,2
pornography,2
stark,2
feel,2
@jameswhartonmp's,2
terry,2
charm,2
unlike,2
previous,2
radio,2
county,2
no.,2
10’s,2
fortunate,2
bake,2
bills,2
#lestweforget,2
unemployed,2
pocket,2
totally,2
"apprenticeships,",2
households,2
terror.,2
account.,2
0.8%,2
strong.,2
room,2
words,2
"skills,",2
disrupted,2
figure,2
important.,2
lane,2
christianity,2
ives,2
paul,2
enjoying,2
dev.,2
appointment,2
commit,2
"on,",2
fruits,2
incl,2
strategic,2
1%,2
sajid,2
"martin,",2
£1m,2
commitments.,2
delivers,2
rises,2
rightly,2
lions,2
rebuilding,2
javid,2
gb,2
construction,2
"culture,",2
d-day.,2
recommendation,2
fab,2
priti,2
inheritance,2
n.,2
v,2
shoulder,2
storm.,2
overturn,2
necessary,2
curling,2
principal,2
sommes,2
nous,2
chengdu.,2
#genomics,2
francois,2
didn’t,2
condolence,2
solidarity,2
isil's,2
"media,",2
wembley,2
thatcher’s,2
@bbcnickrobinson,2
agency,2
know.,2
u,2
patel,2
desmond,2
sudan,2
results.,2
clears,2
station.,2
stowell,2
succeed.,2
car.,2
solutions,2
"help,",2
pictures,2
unprecedented,2
york.,2
http://t.co/3tavsw92vm,2
yet,2
privy,2
mediocrity,2
#realchangeineurope,2
@thetimes,2
quite,2
priority.,2
seal.,2
@whitehouse:,2
pies,2
voters,2
strongest,2
film:,2
vulnerable,2
amber,2
desmond.,2
rudd,2
vs,2
areas.,2
that.,2
recover,2
#governmentdelivers,2
freezing,2
recognition,2
first-hand,2
carlisle,2
strengthen,2
uk-india,2
fares,2
festive,2
receiving,2
april,2
tina,2
#crimeisfalling.,2
han,2
http://t.co/agcfjxiexj,2
yesterday.,2
publishing,2
scots,2
cakes,2
nursery,2
used,2
@itvnews,2
wage:,2
"@bbcnews,",2
they'll,2
whip.,2
wanted,2
@jimwaterson,2
age,2
1.5,2
thanking,2
belgium,2
#gandhistatue,2
support:,2
pic,2
0.7%,2
largest.,2
increasing,2
are.,2
atrocities,2
http://t.co/4xjxq3r9bt,2
calls,2
cold,2
harrow.,2
lanka.,2
scrapped,2
journalists,2
@unicef,2
bangkok,2
"said,",2
carney,2
asia,2
canada,2
century.,2
projects,2
@matthancockmp,2
